Cliente,Producto,SKU,Fecha de creación (PST),Estado de la suscripción,Plan de pago,Fecha de renovación (PST),Licencias asignadas,Licencias compradas,ID único de cliente,ID de Cloud Identity,ID de aprovisionamiento
carlesdefortuny.cat,Google Workspace,Google Workspace for Education Fundamentals,16 de enero de 2022,Activa,Free Plan,-,0,2000000,SNfU0Hg8bSuxkg,C03ekxl3s,3478690280
carlesfaust.com,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,Sm8UQWbIEjke4r,C02buxlic,3325896480
carulla.cat,Google Workspace,Google Workspace for Education Fundamentals,24 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SyNBnYazWmciI5,C01zciz7g,3330809244
caudelaguineu.cat,Google Workspace,Google Workspace for Education Fundamentals,9 de diciembre de 2021,Activa,Free Plan,-,0,2000000,Sfpvo8xCQiTt6a,C023pb5r1,3378355465
cdacasablanca.net,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,Skvv2VjRnoWeZt,C039damjg,3326007106
cdamontserrat.cat,Google Workspace,Google Workspace for Education Fundamentals,24 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SlqsyBQ4EE7wrX,C011kxn9k,3332866030
ceip-puigcavaller.cat,Google Workspace,Google Workspace for Education Fundamentals,23 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SplVtWkVxQlfka,C00wbe6cm,3329146101
ceipflix.cat,-,-,-,-,-,-,0,0,SlTb3Hw9sjUkyR,C01727755,-
ceiplestacio.cat,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SNgQTonjcxaMLK,C037xnli2,3326168244
ceipmestral.com,Google Workspace,Google Workspace for Education Fundamentals,16 de diciembre de 2021,Activa,Free Plan,-,0,2000000,SDOVgd53dF4ifU,C00rvcazt,3397832543
cendrassos.net,Google Workspace,Google Workspace for Education Fundamentals,20 de enero de 2021,Activa,Free Plan,-,0,2000000,S7JAmxvunVdDNI,C03ycoejf,2394558657
centcelles.net,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SQdhrbPrejP8Zh,C04emvm5k,3326433605
cervolablanca.cat,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SZA8DJdEoTESEJ,C0199nwut,3326198039
cirvianum.cat,Google Workspace,Google Workspace for Education Fundamentals,27 de enero de 2021,Activa,Free Plan,-,0,2000000,SMj20No9cEkXt0,C042789yu,2420013192
colegroc.cat,Google Workspace,Google Workspace for Education Fundamentals,23 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SdxlvI6Z3tnSvw,C023jl4a5,3328950069
collserolaescola.cat,Google Workspace,Google Workspace for Education Fundamentals,1 de diciembre de 2021,Activa,Free Plan,-,0,2000000,ShxcT01YDdv85t,C03ykdr2l,3351991609
congres.cat,Google Workspace,Google Workspace for Education Fundamentals,17 de noviembre de 2020,Activa,Free Plan,-,0,2000000,SJ01IjQ5Cjfk9s,C032t1qyg,2183737890
congresindians.org,Google Workspace,Google Workspace for Education Fundamentals,1 de diciembre de 2021,Activa,Free Plan,-,0,2000000,SkTQbRiKqUGFKT,C03cgosjd,3354691777
conselldecent.com,Google Workspace,Google Workspace for Education Fundamentals,17 de noviembre de 2020,Activa,Free Plan,-,0,2000000,Sagw2yRI2kpLuh,C01hm20g6,2183937641
corderoure.cat,Google Workspace,Google Workspace for Education Fundamentals,23 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SX9H89z04F2IYk,C02onrffh,3329054153
creixa.cat,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SkiS6rM3utb7y0,C01ph66bk,3326381730
creudesaba.cat,Google Workspace,Google Workspace for Education Fundamentals,1 de febrero de 2021,Activa,Free Plan,-,0,2000000,Sgq1ru5vjQGALf,C00gt05se,2437517457
dauro.cat,-,-,-,-,-,-,0,0,S7gQlZzQ2xEioX,C01miqxi6,-
doctorferrer.cat,Google Workspace,Google Workspace for Education Fundamentals,30 de noviembre de 2021,Activa,Free Plan,-,0,2000000,Spaa8tcChz83LF,C039qf0eu,3348664084
ducdemontblanc.cat,-,-,-,-,-,-,0,0,S9xpwgyqaYZHDT,C0417t16j,-
eavilanova.cat,Google Workspace,Google Workspace for Education Fundamentals,1 de diciembre de 2021,Activa,Free Plan,-,0,2000000,SLeIggU71vrogs,C0390bb6w,3354784046
ebernatmetge.com,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,S5DjLKHXmaOhp9,C02jdrins,3326067310
ecollbaix.cat,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,Sl0vL3t4LrBpa7,C00tkvod7,3325901290
edumar.cat,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SWBn2rp1GxYBSA,C03p2vv9s,3326068462
efmacia.cat,Google Workspace,Google Workspace for Education Fundamentals,1 de diciembre de 2021,Activa,Free Plan,-,0,2000000,SIsLpYsm1pmDbZ,C03mm1wn3,3352055806
eiximenisgirona.cat,Google Workspace,Google Workspace for Education Fundamentals,15 de diciembre de 2021,Activa,Free Plan,-,0,2000000,S3XAZxtosU5TAD,C022on0ni,3394256488
ejoventut.cat,Google Workspace,Google Workspace for Education Fundamentals,2 de diciembre de 2021,Activa,Free Plan,-,0,2000000,SWdKJPPCnY9kHF,C00vaxp0p,3354484396
elapau.cat,Google Workspace,Google Workspace for Education Fundamentals,30 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SC73wIdCvRKwvA,C02frgdf1,3350814815
elfoix.cat,Google Workspace,Google Workspace for Education Fundamentals,1 de diciembre de 2020,Activa,Free Plan,-,0,2000000,S5zeL0EaF0MJwF,C02vsh6wk,2228289283
elluchabrera.com,Google Workspace,Google Workspace for Education Fundamentals,23 de noviembre de 2021,Activa,Free Plan,-,0,2000000,Shj3phGjrb3lim,C00x9q217,3328804437
elpedro.cat,Google Workspace,Google Workspace for Education Fundamentals,2 de diciembre de 2020,Activa,Free Plan,-,0,2000000,Snu5ntypArmm0g,C01p21u39,2232908343
elscastanyers.cat,Google Workspace,Google Workspace for Education Fundamentals,8 de diciembre de 2021,Activa,Free Plan,-,0,2000000,Sdl9kRzVIw3MV0,C04jw3p13,3374962411
elsestanys.cat,Google Workspace,Google Workspace for Education Fundamentals,8 de diciembre de 2021,Activa,Free Plan,-,0,2000000,SIxc8RhGDwjPeO,C00tt18qk,3375190291
elspinscabrianes.cat,Google Workspace,Google Workspace for Education Fundamentals,24 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SWCPT5piI6DaES,C03yczeru,3332994544
elsvinyals.cat,Google Workspace,Google Workspace for Education Fundamentals,15 de diciembre de 2021,Activa,Free Plan,-,0,2000000,SgVJAzMqkf4h8y,C02s0zn9u,3395147602
elturonet.cat,Google Workspace,Google Workspace for Education Fundamentals,24 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SfAVNsVYnZfu4c,C02izx5co,3332855497
emargarit.cat,Google Workspace,Google Workspace for Education Fundamentals,1 de diciembre de 2021,Activa,Free Plan,-,0,2000000,SUaJDm7Tt1UcvD,C049o2497,3354254096
emarinada.cat,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SAuXoR9JPS1VSS,C03jufrdx,3326044683
emarquina.cat,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SxLvKm8ny4JS5s,C01yuja30,3326074941
emdm.cat,Google Workspace,Google Workspace for Education Fundamentals,1 de diciembre de 2021,Activa,Free Plan,-,0,2000000,SAZ5HXprg8f0kp,C02t1hgnk,3352010912
